Num,mRID,name,pathName,StartSt,EndSt,ratedMW,ratedCurrent,BaseVoltage,r,x,bch,r0,x0,b0ch,Region_id,
序号,标识,中文原名,标准带路径全名,首端厂站标识,末端厂站标识,功率限制,允许载流量,所属基准电压,正序电阻有名值,正序电抗有名值,正序电纳有名值,零序电阻有名值,零序电抗有名值,零序电纳有名值,区域id,
1,116530641096409089,NULL,Province.BB线,113997366306013227,113997366306013198,0.000000,1200.000000,112871465677750279,2.410600,15.518300,200.884003,0.000000,0.000000,0.000000,44,
