Num,mRID,name,pathName,ACLineSegment,Substation,I_node,BaseVoltage,VoltageLevel,Bay,P,Q,I,Region_id,
序号,标识,中文原名,标准带路径全名,交流线段标识,厂站标识,物理连接节点,基准电压标识,电压等级标识,所属间隔标识,有功量测,无功量测,电流量测,区域id,
1,116812115351699552,NULL,Province.BB站/500kV.盘龙II线,116530641096409632,113997365584592936,1000040002037,112871465677750274,113152940654461022,0,-66.891617,-294.855194,328.056152,44,
